Time,Q1,Q2,T1,T2
3951.700466,59,0,41.17,0
3952.702759,59,0,41.2,0
3953.703394,59,0,41.49,0
3954.704645,59,0,41.52,0
3955.70562,59,0,41.65,0
3956.706863,59,0,41.85,0
3957.709809,59,0,41.88,0
3958.710201,59,0,42.1,0
3959.713051,59,0,42.17,0
3960.713824,59,0,42.3,0
3961.714784,59,0,42.49,0
3962.717612,59,0,42.59,0
3963.717925,59,0,42.78,0
3964.722649,59,0,42.81,0
3965.722911,59,0,43.07,0
3966.723369,59,0,43.13,0
3967.733053,59,0,43.23,0
3968.734609,59,0,43.42,0
3969.735706,59,0,43.49,0
3970.737671,59,0,43.71,0
3971.738975,59,0,43.78,0
3972.739978,59,0,43.81,0
3973.752833,59,0,44,0
3974.772593,59,0,44.1,0
3975.773043,59,0,44.17,0
3976.773048,59,0,44.36,0
3977.77334,59,0,44.42,0
3978.780349,59,0,44.58,0
3979.792634,59,0,44.75,0
3980.792963,59,0,44.75,0
3981.794767,59,0,44.94,0
3982.795863,59,0,45.07,0
3983.796658,59,0,45.07,0
3984.812911,59,0,45.36,0
3985.81521,59,0,45.39,0
3986.816651,59,0,45.55,0
3987.817538,59,0,45.71,0
3988.81795,59,0,45.78,0
3989.832639,59,0,46,0
3990.84252,59,0,46.04,0
3991.842779,59,0,46.04,0
3992.861261,59,0,46.26,0
3993.861992,59,0,46.36,0
3994.862784,59,0,46.45,0
3995.872703,59,0,46.65,0
3996.872954,59,0,46.68,0
3997.873522,59,0,46.68,0
3998.87403,59,0,46.78,0
3999.874628,59,0,47,0
4000.875213,59,0,47,0
4001.882942,59,0,47.16,0
4002.883616,59,0,47.29,0
4003.884112,59,0,47.32,0
4004.885076,59,0,47.61,0
4005.886207,59,0,47.65,0
4006.897846,59,0,47.68,0
4007.917711,59,0,47.9,0
4008.919187,59,0,47.97,0
4009.919364,59,0,47.97,0
4010.932886,59,0,48.19,0
4011.934673,59,0,48.29,0
4012.942568,59,0,48.29,0
4013.942698,59,0,48.58,0
4014.943225,59,0,48.61,0
4015.948875,59,0,48.61,0
4016.94977,59,0,48.87,0
4017.962931,59,0,48.94,0
4018.963029,59,0,48.94,0
4019.963201,59,0,49.13,0
4020.963386,59,0,49.26,0
4021.964122,59,0,49.23,0
4022.964746,59,0,49.29,0
4023.97267,59,0,49.42,0
4024.992812,59,0,49.58,0
4025.994151,59,0,49.58,0
4027.002843,59,0,49.74,0
4028.003179,59,0,49.87,0
4029.012915,59,0,49.93,0
4030.013655,59,0,50.03,0
4031.014787,59,0,50.22,0
4032.015773,59,0,50.22,0
4033.015979,59,0,50.29,0
4034.016733,59,0,50.51,0
4035.0329,59,0,50.55,0
4036.033922,59,0,50.58,0
4037.03425,59,0,50.87,0
4038.052864,59,0,50.87,0
4039.053697,59,0,50.9,0
4040.07239,59,0,51.06,0
4041.072839,59,0,51.06,0
4042.092729,59,0,51.19,0
